id,sentence,subject_entity,object_entity,label,source
18,"문성민은 경기대에 입학해 황동일, 신영석과 함께 하계 올림픽, 전국체전, 최강전 등 3관왕을 차지하며 경기대 전성기를 이끌었다.","{'word': '문성민', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '경기대', 'start_idx': 5, 'end_idx': 7, 'type': 'ORG'}",per:schools_attended,wikipedia
20,1971년 대선을 앞두고 김종필은 1971년 대선에서 박정희를 이기기 위해 무려 600억 원을 썼다고 말했다.,"{'word': '김종필', 'start_idx': 14, 'end_idx': 16, 'type': 'PER'}","{'word': '박정희', 'start_idx': 30, 'end_idx': 32, 'type': 'PER'}",per:colleagues,wikipedia
22,"박흥식 씨는 첫째 부인과 장녀 박병숙 씨를 두었고 둘째 부인은 경희대 교수를 지낸 피아니스트 한인하 씨, 둘째 딸 박봉숙 씨는 이화여대 교수를 지냈다.","{'word': '박흥식', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '한인하', 'start_idx': 57, 'end_idx': 59, 'type': 'PER'}",per:spouse,wikipedia
25,SK는 또 지난해 12월 5일 방송에서 언급된 가로세로연구소 유튜브 방송도 명백한 허위라며 최태원 회장이 수감 중 구치소에 라텍스 베개를 나눠줬다고 밝혔다.이혼소송 중인 노소영 원장에게 생활비를 지급하지 않은 것도 거짓이다.,"{'word': '노소영', 'start_idx': 110, 'end_idx': 112, 'type': 'PER'}","{'word': '최태원', 'start_idx': 67, 'end_idx': 69, 'type': 'PER'}",per:spouse,wikitree
33,채리나는 후에 박용근을 생명의 은인으로 여겼고 2016년 11월에 결혼했다.,"{'word': '채리나', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '박용근', 'start_idx': 8, 'end_idx': 10, 'type': 'PER'}",per:spouse,wikipedia
40,배우 장신영(35)과 남편 강경준(36)이 둘째 아이를 품에 안았다.,"{'word': '강경준', 'start_idx': 17, 'end_idx': 19, 'type': 'PER'}","{'word': '장신영', 'start_idx': 3, 'end_idx': 5, 'type': 'PER'}",per:spouse,wikitree
68,그는 경성대 재학 시절 오른손 투수 김기표와 입학 당시 학생으로 각각 좌원삼과 유기표로 불렸다.,"{'word': '김기표', 'start_idx': 18, 'end_idx': 20, 'type': 'PER'}","{'word': '경성대', 'start_idx': 0, 'end_idx': 2, 'type': 'ORG'}",per:schools_attended,wikipedia
77,문재인 대통령 부인 김정숙 여사가 22일 오후 광주 광산구 남부대 국제수영장에서 열린 2019광주세계수영선수권대회에서 이용섭과 김서영의 경기를 관람하고 있다.,"{'word': '문재인', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '김정숙', 'start_idx': 11, 'end_idx': 13, 'type': 'PER'}",per:spouse,wikitree
80,"2008년 2월 29일 방송위원회가 개편되어 출범하였으며, 경기도 과천시 관문로 47 정부과천청사에 위치하고 있다.","{'word': '방송위원회', 'start_idx': 13, 'end_idx': 17, 'type': 'ORG'}","{'word': '2008년 2월 29일', 'start_idx': 0, 'end_idx': 11, 'type': 'DAT'}",org:founded,wikipedia
86,모델 김원중과 곽지영이 방송에서 신혼부부를 공개했다.,"{'word': '곽지영', 'start_idx': 8, 'end_idx': 10, 'type': 'PER'}","{'word': '김원중', 'start_idx': 3, 'end_idx': 5, 'type': 'PER'}",per:spouse,wikitree
